Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,ActualElapsedTime,CRSElapsedTime,ArrDelay,DepDelay,Origin,Dest,Distance
1987,10,8,4,1528,1505,1636,1608,PS,1453,68,63,28,23,BUR,OAK,325
1987,10,9,5,1606,1505,1708,1608,PS,1453,62,63,60,61,BUR,OAK,325
1987,10,11,7,1505,1505,1602,1608,PS,1453,57,63,,0,BUR,OAK,325
1987,10,12,1,,1505,,1608,PS,1453,,63,,,BUR,OAK,325
1987,10,13,2,1533,1505,1640,1608,PS,1453,67,63,32,28,BUR,OAK,325
1987,10,14,3,1528,1505,1639,1608,PS,1453,71,63,31,23,BUR,OAK,325
1987,10,15,4,1543,1505,1645,1608,PS,1453,62,63,37,38,BUR,OAK,325
1987,10,16,5,1521,1505,1626,1608,PS,1453,65,63,18,16,BUR,OAK,325
1987,10,19,1,1513,1505,1617,1608,PS,1453,64,63,9,8,BUR,OAK,325
1987,10,20,2,1551,1505,1646,1608,PS,1453,55,63,38,46,BUR,OAK,325
1987,10,21,3,1504,1505,1620,1608,PS,1453,76,63,12,,BUR,OAK,325
1987,10,22,4,1518,1505,1623,1608,PS,1453,65,63,15,13,BUR,OAK,325
1987,10,23,5,1558,1505,1717,1608,PS,1453,79,63,69,53,BUR,OAK,325
1987,10,25,7,1531,1505,1635,1608,PS,1453,64,63,27,26,BUR,OAK,325
1987,10,26,1,1508,1505,1614,1608,PS,1453,66,63,6,3,BUR,OAK,325
1987,10,27,2,1531,1505,1627,1608,PS,1453,56,63,19,26,BUR,OAK,325
1987,10,28,3,1550,1550,1706,1657,PS,1453,76,67,9,0,BUR,OAK,325
1987,10,29,4,1550,1550,1700,1657,PS,1453,70,67,3,0,BUR,OAK,325
1987,10,30,5,1556,1550,1706,1657,PS,1453,70,67,9,6,BUR,OAK,325
1987,10,1,4,1643,1635,1750,1732,PS,1454,67,57,18,8,OAK,BUR,325
1987,10,2,5,1635,1635,1737,1732,PS,1454,62,57,5,0,OAK,BUR,325
1987,10,3,6,1634,1635,1748,1732,PS,1454,74,57,16,,OAK,BUR,325
1987,10,4,7,1646,1635,1750,1732,PS,1454,64,57,18,11,OAK,BUR,325
1987,10,5,1,1634,1635,1736,1732,PS,1454,62,57,4,,OAK,BUR,325
1987,10,6,2,1634,1635,1735,1732,PS,1454,61,57,3,,OAK,BUR,325
1987,10,7,3,1634,1635,1730,1732,PS,1454,56,57,,,OAK,BUR,325
1987,10,8,4,1654,1635,1755,1732,PS,1454,61,57,23,19,OAK,BUR,325
1987,10,9,5,1731,1635,1831,1732,PS,1454,60,57,59,56,OAK,BUR,325
1987,10,10,6,1635,1635,1740,1732,PS,1454,65,57,8,0,OAK,BUR,325
1987,10,11,7,1634,1635,1740,1732,PS,1454,66,57,8,,OAK,BUR,325
1987,10,12,1,,1635,,1732,PS,1454,,57,,,OAK,BUR,325
1987,10,13,2,1656,1635,1758,1732,PS,1454,62,57,26,21,OAK,BUR,325
1987,10,14,3,1652,1635,1750,1732,PS,1454,58,57,18,17,OAK,BUR,325
1987,10,15,4,1701,1635,1805,1732,PS,1454,64,57,33,26,OAK,BUR,325
1987,10,16,5,1647,1635,1746,1732,PS,1454,59,57,14,12,OAK,BUR,325
1987,10,17,6,1634,1635,1743,1732,PS,1454,69,57,11,,OAK,BUR,325
1987,10,19,1,1635,1635,1735,1732,PS,1454,60,57,3,0,OAK,BUR,325
1987,10,20,2,1705,1635,1808,1732,PS,1454,63,57,36,30,OAK,BUR,325
1987,10,21,3,1638,1635,1742,1732,PS,1454,64,57,10,3,OAK,BUR,325
1987,10,22,4,1640,1635,1744,1732,PS,1454,64,57,12,5,OAK,BUR,325
1987,10,23,5,1743,1635,1845,1732,PS,1454,62,57,73,68,OAK,BUR,325
1987,10,24,6,1634,1635,1745,1732,PS,1454,71,57,13,,OAK,BUR,325
1987,10,25,7,1657,1635,1804,1732,PS,1454,67,57,32,22,OAK,BUR,325
1987,10,26,1,1634,1635,1736,1732,PS,1454,62,57,4,,OAK,BUR,325
1987,10,27,2,1644,1635,1746,1732,PS,1454,62,57,14,9,OAK,BUR,325
1987,10,31,6,721,700,828,809,PS,1455,67,69,19,21,BUR,OAK,325
1987,10,1,4,851,830,1008,937,PS,1457,77,67,31,21,LAX,SFO,337
1987,10,2,5,831,830,948,937,PS,1457,77,67,11,1,LAX,SFO,337
1987,10,5,1,833,830,932,937,PS,1457,59,67,,3,LAX,SFO,337
1987,10,6,2,,830,,937,PS,1457,,67,,,LAX,SFO,337
1987,10,8,4,843,830,952,937,PS,1457,69,67,15,13,LAX,SFO,337
1987,10,13,2,834,830,955,937,PS,1457,81,67,18,4,LAX,SFO,337
1987,10,15,4,836,830,946,937,PS,1457,70,67,9,6,LAX,SFO,337
1987,10,16,5,840,830,1000,937,PS,1457,80,67,23,10,LAX,SFO,337
1987,10,19,1,844,830,952,937,PS,1457,68,67,15,14,LAX,SFO,337
1987,10,20,2,852,830,957,937,PS,1457,65,67,20,22,LAX,SFO,337
1987,10,22,4,831,830,939,937,PS,1457,68,67,2,1,LAX,SFO,337
1987,10,23,5,840,830,948,937,PS,1457,68,67,11,10,LAX,SFO,337
1987,10,26,1,831,830,933,937,PS,1457,62,67,,1,LAX,SFO,337
1987,10,27,2,832,830,936,937,PS,1457,64,67,,2,LAX,SFO,337
1987,10,29,4,837,830,958,940,PS,1457,81,70,18,7,LAX,SFO,337
1987,10,30,5,832,830,948,940,PS,1457,76,70,8,2,LAX,SFO,337
1987,10,1,4,659,650,834,800,PS,1457,95,70,34,9,PHX,LAX,370
1987,10,2,5,657,650,814,800,PS,1457,77,70,14,7,PHX,LAX,370
1987,10,3,6,651,650,830,800,PS,1457,99,70,30,1,PHX,LAX,370
1987,10,5,1,652,650,808,800,PS,1457,76,70,8,2,PHX,LAX,370
1987,10,6,2,701,650,851,800,PS,1457,110,70,51,11,PHX,LAX,370
1987,10,7,3,653,650,808,800,PS,1457,75,70,8,3,PHX,LAX,370
1987,10,8,4,657,650,826,800,PS,1457,89,70,26,7,PHX,LAX,370
1987,10,9,5,655,650,812,800,PS,1457,77,70,12,5,PHX,LAX,370
1987,10,10,6,655,650,815,800,PS,1457,80,70,15,5,PHX,LAX,370
1987,10,12,1,654,650,811,800,PS,1457,77,70,11,4,PHX,LAX,370
1987,10,13,2,652,650,814,800,PS,1457,82,70,14,2,PHX,LAX,370
1987,10,14,3,654,650,820,800,PS,1457,86,70,20,4,PHX,LAX,370
1987,10,15,4,654,650,810,800,PS,1457,76,70,10,4,PHX,LAX,370
1987,10,16,5,653,650,820,800,PS,1457,87,70,20,3,PHX,LAX,370
1987,10,17,6,655,650,810,800,PS,1457,75,70,10,5,PHX,LAX,370
1987,10,19,1,656,650,824,800,PS,1457,88,70,24,6,PHX,LAX,370
1987,10,20,2,651,650,826,800,PS,1457,95,70,26,1,PHX,LAX,370
1987,10,21,3,650,650,815,800,PS,1457,85,70,15,0,PHX,LAX,370
1987,10,22,4,655,650,811,800,PS,1457,76,70,11,5,PHX,LAX,370
1987,10,23,5,654,650,811,800,PS,1457,77,70,11,4,PHX,LAX,370
1987,10,24,6,652,650,808,800,PS,1457,76,70,8,2,PHX,LAX,370
1987,10,26,1,752,750,809,800,PS,1457,77,70,9,2,PHX,LAX,370
1987,10,27,2,750,750,815,800,PS,1457,85,70,15,0,PHX,LAX,370
1987,10,28,3,746,745,800,759,PS,1457,74,74,1,1,PHX,LAX,370
1987,10,29,4,745,745,804,759,PS,1457,79,74,5,0,PHX,LAX,370
1987,10,30,5,745,745,801,759,PS,1457,76,74,2,0,PHX,LAX,370
1987,10,1,4,934,930,1044,1035,PS,1459,70,65,9,4,LAX,SFO,337
1987,10,2,5,930,930,1038,1035,PS,1459,68,65,3,0,LAX,SFO,337
1987,10,3,6,933,930,1042,1035,PS,1459,69,65,7,3,LAX,SFO,337
1987,10,4,7,931,930,1041,1035,PS,1459,70,65,6,1,LAX,SFO,337
1987,10,5,1,931,930,1032,1035,PS,1459,61,65,,1,LAX,SFO,337
1987,10,6,2,958,930,1107,1035,PS,1459,69,65,32,28,LAX,SFO,337
1987,10,10,6,930,930,1032,1035,PS,1459,62,65,,0,LAX,SFO,337
1987,10,12,1,931,930,1055,1035,PS,1459,84,65,20,1,LAX,SFO,337
1987,10,13,2,938,930,1105,1035,PS,1459,87,65,30,8,LAX,SFO,337
1987,10,14,3,942,930,1129,1035,PS,1459,107,65,54,12,LAX,SFO,337
1987,10,15,4,932,930,1039,1035,PS,1459,67,65,4,2,LAX,SFO,337
1987,10,16,5,931,930,1036,1035,PS,1459,65,65,1,1,LAX,SFO,337
1987,10,17,6,929,930,1035,1035,PS,1459,66,65,0,,LAX,SFO,337
1987,10,18,7,928,930,1033,1035,PS,1459,65,65,,,LAX,SFO,337
1987,10,19,1,939,930,1049,1035,PS,1459,70,65,14,9,LAX,SFO,337
1987,10,20,2,944,930,1052,1035,PS,1459,68,65,17,14,LAX,SFO,337
1987,10,21,3,932,930,1034,1035,PS,1459,62,65,,2,LAX,SFO,337
1987,10,22,4,929,930,1033,1035,PS,1459,64,65,,,LAX,SFO,337
1987,10,23,5,945,930,1111,1035,PS,1459,86,65,36,15,LAX,SFO,337
1987,10,24,6,931,930,1042,1035,PS,1459,71,65,7,1,LAX,SFO,337
1987,10,25,7,930,930,1033,1035,PS,1459,63,65,,0,LAX,SFO,337
1987,10,26,1,931,930,1046,1035,PS,1459,75,65,11,1,LAX,SFO,337
1987,10,27,2,932,930,1033,1035,PS,1459,61,65,,2,LAX,SFO,337
1987,10,28,3,930,930,1038,1040,PS,1459,68,70,,0,LAX,SFO,337
1987,10,29,4,,930,,1040,PS,1459,NA,70,,,LAX,SFO,337
1987,10,31,6,940,930,1045,1040,PS,1459,65,70,5,10,LAX,SFO,337
1987,10,1,4,1127,1120,1253,1250,PS,1459,86,90,3,7,SFO,PDX,550
1987,10,2,5,1124,1120,1252,1250,PS,1459,88,90,2,4,SFO,PDX,550
1987,10,3,6,1120,1120,1250,1250,PS,1459,90,90,0,0,SFO,PDX,550
1987,10,4,7,1120,1120,1250,1250,PS,1459,90,90,0,0,SFO,PDX,550
1987,10,5,1,1128,1120,1252,1250,PS,1459,84,90,2,8,SFO,PDX,550
1987,10,6,2,1128,1120,1254,1250,PS,1459,86,90,4,8,SFO,PDX,550
1987,10,10,6,1119,1120,1302,1250,PS,1459,103,90,12,,SFO,PDX,550
1987,10,12,1,1120,1120,1248,1250,PS,1459,88,90,,0,SFO,PDX,550
1987,10,13,2,1123,1120,1259,1250,PS,1459,96,90,9,3,SFO,PDX,550
1987,10,14,3,1153,1120,1321,1250,PS,1459,88,90,31,33,SFO,PDX,550
1987,10,15,4,1122,1120,1256,1250,PS,1459,94,90,6,2,SFO,PDX,550
1987,10,16,5,1124,1120,1254,1250,PS,1459,90,90,4,4,SFO,PDX,550
1987,10,17,6,1120,1120,1255,1250,PS,1459,95,90,5,0,SFO,PDX,550
1987,10,18,7,1120,1120,1244,1250,PS,1459,84,90,,0,SFO,PDX,550
1987,10,19,1,1128,1120,1259,1250,PS,1459,91,90,9,8,SFO,PDX,550
1987,10,20,2,1122,1120,1244,1250,PS,1459,82,90,,2,SFO,PDX,550
1987,10,21,3,1120,1120,1245,1250,PS,1459,85,90,,0,SFO,PDX,550
1987,10,22,4,1121,1120,1251,1250,PS,1459,90,90,1,1,SFO,PDX,550
1987,10,23,5,1138,1120,1307,1250,PS,1459,89,90,17,18,SFO,PDX,550
1987,10,24,6,1120,1120,1303,1250,PS,1459,103,90,13,0,SFO,PDX,550
1987,10,25,7,1121,1120,1306,1250,PS,1459,105,90,16,1,SFO,PDX,550
1987,10,26,1,1121,1120,1258,1250,PS,1459,97,90,8,1,SFO,PDX,550
1987,10,27,2,1119,1120,1302,1250,PS,1459,103,90,12,,SFO,PDX,550
1987,10,1,4,1830,1830,1936,1929,PS,1460,66,59,7,0,OAK,BUR,325
1987,10,2,5,1837,1830,1950,1929,PS,1460,73,59,21,7,OAK,BUR,325
1987,10,3,6,1829,1830,1926,1929,PS,1460,57,59,,,OAK,BUR,325
1987,10,4,7,1831,1830,1947,1929,PS,1460,76,59,18,1,OAK,BUR,325
1987,10,5,1,1830,1830,1944,1929,PS,1460,74,59,15,0,OAK,BUR,325
1987,10,6,2,1829,1830,1942,1929,PS,1460,73,59,13,-1,OAK,BUR,325
1987,10,8,4,1842,1830,1950,1929,PS,1460,68,59,21,12,OAK,BUR,325
1987,10,9,5,1830,1830,1941,1929,PS,1460,71,59,12,0,OAK,BUR,325
1987,10,10,6,1828,1830,1931,1929,PS,1460,63,59,2,,OAK,BUR,325
1987,10,11,7,1833,1830,1950,1929,PS,1460,77,59,21,3,OAK,BUR,325
1987,10,13,2,1830,1830,1937,1929,PS,1460,67,59,8,0,OAK,BUR,325
1987,10,14,3,1835,1830,1947,1929,PS,1460,72,59,18,5,OAK,BUR,325
1987,10,15,4,1839,1830,1949,1929,PS,1460,70,59,20,9,OAK,BUR,325
1987,10,17,6,1830,1830,1930,1929,PS,1460,60,59,1,0,OAK,BUR,325
1987,10,18,7,1830,1830,1934,1929,PS,1460,64,59,5,0,OAK,BUR,325
1987,10,19,1,1834,1830,1944,1929,PS,1460,70,59,15,4,OAK,BUR,325
1987,10,20,2,1828,1830,1943,1929,PS,1460,75,59,14,,OAK,BUR,325
1987,10,21,3,1829,1830,1938,1929,PS,1460,69,59,9,,OAK,BUR,325
1987,10,22,4,1844,1830,2023,1929,PS,1460,99,59,54,14,OAK,BUR,325
1987,10,23,5,1834,1830,1944,1929,PS,1460,70,59,15,4,OAK,BUR,325
1987,10,24,6,1829,1830,1928,1929,PS,1460,59,59,,,OAK,BUR,325
1987,10,25,7,1829,1830,1938,1929,PS,1460,69,59,9,,OAK,BUR,325
1987,10,26,1,1829,1830,1936,1929,PS,1460,67,59,7,,OAK,BUR,325
1987,10,28,3,1845,1846,2001,1949,PS,1460,76,63,12,,OAK,BUR,325
1987,10,29,4,1851,1846,1957,1949,PS,1460,66,63,8,5,OAK,BUR,325
1987,10,30,5,1846,1846,1957,1949,PS,1460,71,63,8,0,OAK,BUR,325
1987,10,31,6,1845,1846,1947,1949,PS,1460,62,63,,,OAK,BUR,325
1987,10,1,4,1808,1800,1915,1901,PS,1463,67,61,14,8,BUR,OAK,325
1987,10,2,5,1802,1800,1913,1901,PS,1463,71,61,12,2,BUR,OAK,325
1987,10,3,6,1800,1800,1910,1901,PS,1463,70,61,9,0,BUR,OAK,325
1987,10,4,7,1813,1800,1912,1901,PS,1463,59,61,11,13,BUR,OAK,325
1987,10,5,1,1759,1800,1903,1901,PS,1463,64,61,2,-1,BUR,OAK,325
1987,10,6,2,1800,1800,1902,1901,PS,1463,62,61,1,0,BUR,OAK,325
1987,10,7,3,1759,1800,1906,1901,PS,1463,67,61,5,,BUR,OAK,325
1987,10,8,4,1819,1800,1919,1901,PS,1463,60,61,18,19,BUR,OAK,325
1987,10,9,5,1905,1800,2012,1901,PS,1463,67,61,71,65,BUR,OAK,325
1987,10,10,6,1759,1800,1859,1901,PS,1463,60,61,,,BUR,OAK,325
1987,10,11,7,1800,1800,1858,1901,PS,1463,58,61,,0,BUR,OAK,325
1987,10,12,1,1759,1800,1906,1901,PS,1463,67,61,5,,BUR,OAK,325
1987,10,13,2,1823,1800,1930,1901,PS,1463,67,61,29,23,BUR,OAK,325
1987,10,14,3,1808,1800,1919,1901,PS,1463,71,61,18,8,BUR,OAK,325
1987,10,15,4,1819,1800,1932,1901,PS,1463,73,61,31,19,BUR,OAK,325
1987,10,16,5,1809,1800,1913,1901,PS,1463,64,61,12,9,BUR,OAK,325
1987,10,17,6,1759,1800,1900,1901,PS,1463,61,61,,,BUR,OAK,325
1987,10,19,1,1759,1800,1902,1901,PS,1463,63,61,1,,BUR,OAK,325
1987,10,20,2,1827,1800,1946,1901,PS,1463,79,61,45,27,BUR,OAK,325
1987,10,21,3,1805,1800,1903,1901,PS,1463,58,61,2,5,BUR,OAK,325
1987,10,22,4,1805,1800,1912,1901,PS,1463,67,61,11,5,BUR,OAK,325
1987,10,23,5,1909,1800,2026,1901,PS,1463,77,61,85,69,BUR,OAK,325
1987,10,24,6,1801,1800,1906,1901,PS,1463,65,61,5,1,BUR,OAK,325
1987,10,25,7,1827,1800,1928,1901,PS,1463,61,61,27,27,BUR,OAK,325
1987,10,26,1,1759,1800,1859,1901,PS,1463,60,61,,-1,BUR,OAK,325
1987,10,27,2,1811,1800,1913,1901,PS,1463,62,61,12,11,BUR,OAK,325
1987,10,28,3,1907,1850,2015,1957,PS,1463,68,67,18,17,BUR,OAK,325
1987,10,29,4,1852,1850,2004,1957,PS,1463,72,67,7,2,BUR,OAK,325
1987,10,30,5,1858,1850,2002,1957,PS,1463,64,67,5,8,BUR,OAK,325
1987,10,31,6,1849,1850,1950,1957,PS,1463,61,67,,-1,BUR,OAK,325
1987,10,28,3,1559,1515,1702,1611,PS,1464,63,56,51,44,SJC,BUR,296
1987,10,29,4,1525,1515,1636,1611,PS,1464,71,56,25,10,SJC,BUR,296
1987,10,30,5,1518,1515,1620,1611,PS,1464,62,56,9,3,SJC,BUR,296
1987,10,1,4,2003,2000,2058,2059,PS,1465,55,59,,3,BUR,OAK,325
1987,10,2,5,2000,2000,2100,2059,PS,1465,60,59,1,0,BUR,OAK,325
1987,10,4,7,2040,2000,2136,2059,PS,1465,56,59,37,40,BUR,OAK,325
1987,10,6,2,2000,2000,2055,2059,PS,1465,55,59,,0,BUR,OAK,325
1987,10,7,3,1959,2000,2055,2059,PS,1465,56,59,,-1,BUR,OAK,325
1987,10,8,4,2005,2000,2055,2059,PS,1465,50,59,,5,BUR,OAK,325
1987,10,9,5,2047,2000,2144,2059,PS,1465,57,59,45,47,BUR,OAK,325
1987,10,11,7,2001,2000,2106,2059,PS,1465,65,59,7,1,BUR,OAK,325
1987,10,12,1,1959,2000,2103,2059,PS,1465,64,59,4,-1,BUR,OAK,325
1987,10,13,2,1958,2000,2101,2059,PS,1465,63,59,2,-2,BUR,OAK,325
1987,10,14,3,1958,2000,2057,2059,PS,1465,59,59,,-2,BUR,OAK,325
1987,10,15,4,1958,2000,2054,2059,PS,1465,56,59,,-2,BUR,OAK,325
1987,10,16,5,2000,2000,2100,2059,PS,1465,60,59,1,0,BUR,OAK,325
1987,10,18,7,2008,2000,2110,2059,PS,1465,62,59,11,8,BUR,OAK,325
1987,10,19,1,1959,2000,2059,2059,PS,1465,60,59,0,-1,BUR,OAK,325
1987,10,20,2,1958,2000,2058,2059,PS,1465,60,59,,-2,BUR,OAK,325
1987,10,21,3,2000,2000,2058,2059,PS,1465,58,59,,0,BUR,OAK,325
1987,10,22,4,NA,2000,NA,2059,PS,1465,NA,59,NA,NA,BUR,OAK,325
1987,10,23,5,2052,2000,2149,2059,PS,1465,57,59,50,52,BUR,OAK,325
1987,10,25,7,2009,2000,2106,2059,PS,1465,57,59,7,9,BUR,OAK,325
1987,10,26,1,1959,2000,2055,2059,PS,1465,56,59,,-1,BUR,OAK,325
1987,10,27,2,2007,2000,2105,2059,PS,1465,58,59,6,7,BUR,OAK,325
1987,10,28,3,2111,2019,2225,2122,PS,1465,74,63,63,52,BUR,OAK,325
1987,10,29,4,2055,2019,2158,2122,PS,1465,63,63,36,36,BUR,OAK,325
1987,10,30,5,2021,2019,2118,2122,PS,1465,57,63,,2,BUR,OAK,325
1987,10,1,4,645,645,811,803,PS,1468,86,78,8,0,SFO,SAN,447
1987,10,6,2,735,645,906,803,PS,1468,91,78,63,50,SFO,SAN,447
1987,10,7,3,645,645,814,803,PS,1468,89,78,11,0,SFO,SAN,447
1987,10,8,4,645,645,808,803,PS,1468,83,78,5,0,SFO,SAN,447
1987,10,9,5,646,645,806,803,PS,1468,80,78,3,1,SFO,SAN,447
1987,10,12,1,647,645,809,803,PS,1468,82,78,6,2,SFO,SAN,447
1987,10,13,2,645,645,802,803,PS,1468,77,78,,0,SFO,SAN,447
1987,10,14,3,645,645,808,803,PS,1468,83,78,5,0,SFO,SAN,447
1987,10,15,4,645,645,806,803,PS,1468,81,78,3,0,SFO,SAN,447
1987,10,16,5,648,645,808,803,PS,1468,80,78,5,3,SFO,SAN,447
1987,10,19,1,646,645,812,803,PS,1468,86,78,9,1,SFO,SAN,447
1987,10,20,2,644,645,812,803,PS,1468,88,78,9,-1,SFO,SAN,447
1987,10,21,3,647,645,807,803,PS,1468,80,78,4,2,SFO,SAN,447
1987,10,26,1,644,645,810,803,PS,1468,86,78,7,-1,SFO,SAN,447
1987,10,27,2,645,645,813,803,PS,1468,88,78,10,0,SFO,SAN,447
1987,10,28,3,634,635,759,753,PS,1468,85,78,6,-1,SFO,SAN,447
1987,10,29,4,636,635,805,753,PS,1468,89,78,12,1,SFO,SAN,447
1987,10,30,5,639,635,808,753,PS,1468,89,78,15,4,SFO,SAN,447
1987,10,31,6,850,840,1017,954,PS,1470,87,74,23,10,OAK,SAN,446
1987,10,1,4,645,645,807,804,PS,1471,82,79,3,0,SAN,OAK,446
1987,10,2,5,646,645,812,804,PS,1471,86,79,8,1,SAN,OAK,446
1987,10,5,1,646,645,907,804,PS,1471,141,79,63,1,SAN,OAK,446
1987,10,6,2,706,645,825,804,PS,1471,79,79,21,21,SAN,OAK,446
1987,10,8,4,648,645,814,804,PS,1471,86,79,10,3,SAN,OAK,446
1987,10,9,5,645,645,806,804,PS,1471,81,79,2,0,SAN,OAK,446
1987,10,12,1,644,645,803,804,PS,1471,79,79,,-1,SAN,OAK,446
1987,10,13,2,645,645,809,804,PS,1471,84,79,5,0,SAN,OAK,446
1987,10,14,3,652,645,820,804,PS,1471,88,79,16,7,SAN,OAK,446
1987,10,15,4,646,645,806,804,PS,1471,80,79,2,1,SAN,OAK,446
1987,10,16,5,644,645,806,804,PS,1471,82,79,2,-1,SAN,OAK,446
1987,10,19,1,647,645,810,804,PS,1471,83,79,6,2,SAN,OAK,446
1987,10,20,2,644,645,801,804,PS,1471,77,79,,-1,SAN,OAK,446
1987,10,21,3,644,645,808,804,PS,1471,84,79,4,-1,SAN,OAK,446
1987,10,22,4,645,645,806,804,PS,1471,81,79,2,0,SAN,OAK,446
1987,10,23,5,644,645,804,804,PS,1471,80,79,0,-1,SAN,OAK,446
1987,10,26,1,647,645,806,804,PS,1471,79,79,2,2,SAN,OAK,446
1987,10,27,2,645,645,800,804,PS,1471,75,79,,0,SAN,OAK,446
1987,10,28,3,634,635,753,758,PS,1471,79,83,,-1,SAN,OAK,446
1987,10,30,5,634,635,753,758,PS,1471,79,83,,-1,SAN,OAK,446
1987,10,1,4,830,829,950,946,PS,1472,80,77,4,1,OAK,SAN,446
1987,10,2,5,829,829,952,946,PS,1472,83,77,6,0,OAK,SAN,446
1987,10,3,6,828,829,948,946,PS,1472,80,77,2,-1,OAK,SAN,446
1987,10,5,1,927,829,1058,946,PS,1472,91,77,72,58,OAK,SAN,446
1987,10,6,2,850,829,1014,946,PS,1472,84,77,28,21,OAK,SAN,446
1987,10,8,4,831,829,956,946,PS,1472,85,77,10,2,OAK,SAN,446
1987,10,9,5,829,829,951,946,PS,1472,82,77,5,0,OAK,SAN,446
1987,10,10,6,829,829,956,946,PS,1472,87,77,10,0,OAK,SAN,446
1987,10,12,1,828,829,954,946,PS,1472,86,77,8,-1,OAK,SAN,446
